iter	RMSE
0	89879.57541
1	87403.85501
2	85215.44268
3	83140.65791
4	81232.88896
5	79479.36721
6	77905.54513
7	76469.87859
8	75081.49354
9	73882.21492
10	72720.0167
11	71623.35211
12	70631.19302
13	69735.2475
14	68888.98404
15	68123.71051
16	67422.08364
17	66585.70354
18	65884.45697
19	65285.94464
20	64752.66795
21	64246.88943
22	63741.26742
23	63258.15566
24	62823.50432
25	62429.57267
26	62062.94531
27	61667.61037
28	61275.00612
29	60956.09174
30	60656.28633
31	60373.04504
32	60127.37631
33	59840.37312
34	59598.59314
35	59343.37808
36	58951.29838
37	58675.91069
38	58406.46624
39	58207.91419
40	57994.10293
41	57764.31382
42	57538.97325
43	57346.06952
44	57097.10503
45	56922.35756
46	56771.36257
47	56601.27908
48	56442.07188
49	56280.98303
50	56111.99497
51	55969.84874
52	55807.5266
53	55670.18007
54	55398.8082
55	55137.93302
56	54962.07462
57	54824.7302
58	54700.00584
59	54590.4114
60	54481.68161
61	54241.8861
62	54123.55631
63	54024.56867
64	53888.74443
65	53786.13332
66	53628.46927
67	53535.71982
68	53406.63266
69	53279.45806
70	53180.02487
71	53132.4296
72	52917.04947
73	52796.76473
74	52722.24732
75	52588.18228
76	52337.43063
77	52097.05234
78	52012.57423
79	51927.48287
80	51836.73979
81	51761.58377
82	51578.33565
83	51400.27019
84	51209.49955
85	51151.85353
86	51082.33073
87	50994.70294
88	50848.41855
89	50723.59155
90	50661.63625
91	50613.01503
92	50580.72527
93	50489.62439
94	50428.97914
95	50363.96815
96	50241.23699
97	50155.04593
98	50096.2323
99	50024.10273
100	49975.27681
101	49904.2147
102	49829.59777
103	49741.58393
104	49631.5369
105	49579.25658
106	49500.64458
107	49423.01804
108	49341.49224
109	49284.0099
110	49224.94136
111	49190.92703
112	49135.18356
113	49070.85071
114	48994.64127
115	48939.87105
116	48907.96487
117	48847.01133
118	48786.6818
119	48730.5223
120	48636.39105
121	48602.12234
122	48532.0512
123	48475.97677
124	48450.25557
125	48403.91421
126	48358.01738
127	48270.26453
128	48225.32376
129	48156.24733
130	48106.591
131	48061.01153
132	48031.6936
133	47992.54226
134	47934.96835
135	47894.98806
136	47828.79514
137	47791.07068
138	47759.45459
139	47710.1419
140	47670.73559
141	47621.52151
142	47546.28099
143	47508.56819
144	47481.28297
145	47353.82764
146	47308.46414
147	47264.5204
148	47190.25186
149	47131.9753
150	47092.08707
151	47021.67435
152	46980.01418
153	46955.46357
154	46893.74522
155	46859.53194
156	46797.65684
157	46704.99627
158	46659.1773
159	46600.73639
160	46522.74036
161	46498.07915
162	46434.01921
163	46380.3129
164	46316.92047
165	46274.02025
166	46232.60747
167	46202.43729
168	46181.98578
169	46144.82678
170	46124.65935
171	46083.76072
172	46005.46227
173	45961.38588
174	45910.25312
175	45847.48206
176	45819.48855
177	45788.21467
178	45749.08368
179	45677.23969
180	45638.3196
181	45599.81911
182	45522.25575
183	45490.91782
184	45449.53158
185	45410.70487
186	45385.75221
187	45357.48017
188	45259.54323
189	45214.45764
190	45183.82392
191	45115.46855
192	45080.64484
193	45050.90771
194	45009.33988
195	44968.72571
196	44870.64558
197	44828.42339
198	44750.68311
199	44709.56136
200	44671.68262
201	44620.75852
202	44593.86222
203	44578.66194
204	44547.93984
205	44503.79187
206	44462.78871
207	44435.77747
208	44413.73882
209	44331.17245
210	44291.7886
211	44215.14645
212	44179.98896
213	44155.18404
214	44080.16836
215	44027.85988
216	43990.00531
217	43963.59368
218	43929.16941
219	43899.00361
220	43831.22312
221	43801.19402
222	43777.90014
223	43726.711
224	43707.07788
225	43659.28629
226	43634.90297
227	43594.74943
228	43566.10088
229	43536.09095
230	43481.72336
231	43442.83671
232	43395.07264
233	43353.99004
234	43328.97306
235	43281.71959
236	43243.67358
237	43201.58262
238	43156.2192
239	43129.60815
240	43105.20299
241	43061.81361
242	43033.55574
243	42987.74069
244	42962.09981
245	42942.24814
246	42906.36225
247	42869.54651
248	42847.41686
249	42815.47614
250	42791.1586
251	42741.78939
252	42703.54672
253	42626.8196
254	42572.12122
255	42545.63431
256	42518.85873
257	42492.33556
258	42474.08169
259	42445.55974
260	42414.00281
261	42388.03829
262	42372.35124
263	42324.88396
264	42293.99931
265	42263.77367
266	42236.92362
267	42205.5567
268	42176.54757
269	42142.84606
270	42121.93794
271	42103.0381
272	42083.4438
273	42062.17535
274	42034.86292
275	42015.30584
276	41977.75157
277	41945.40815
278	41917.81373
279	41893.58506
280	41857.81669
281	41818.99355
282	41793.30839
283	41760.0057
284	41741.78168
285	41702.81661
286	41675.41956
287	41659.72961
288	41633.03669
289	41602.71512
290	41574.47329
291	41540.33727
292	41513.44133
293	41477.04367
294	41459.8238
295	41430.68596
296	41412.47311
297	41389.14982
298	41364.48843
299	41337.60432
300	41298.69243
301	41280.8098
302	41246.26798
303	41226.23872
304	41215.3968
305	41192.47071
306	41170.05551
307	41154.23621
308	41135.59291
309	41102.62734
310	41080.97241
311	41063.02676
312	41035.20999
313	41007.45471
314	40993.43103
315	40953.71719
316	40929.28176
317	40894.53361
318	40861.26762
319	40825.85543
320	40792.04091
321	40774.68131
322	40751.78338
323	40725.54933
324	40694.31116
325	40655.88189
326	40624.68664
327	40613.13357
328	40585.9156
329	40561.23307
330	40528.33931
331	40506.54905
332	40472.08868
333	40453.49555
334	40433.12141
335	40407.50221
336	40384.34374
337	40355.28611
338	40328.97615
339	40307.27551
340	40283.39631
341	40258.37381
342	40243.67557
343	40220.07154
344	40193.15628
345	40169.66038
346	40136.78691
347	40119.84004
348	40091.36004
349	40074.51888
350	40057.81244
351	40030.45027
352	40009.00609
353	39991.52155
354	39944.07118
355	39932.29871
356	39913.09599
357	39888.80376
358	39864.19602
359	39846.81164
360	39824.79544
361	39813.63146
362	39799.27687
363	39775.84435
364	39747.48371
365	39700.77825
366	39684.01077
367	39663.82798
368	39651.13267
369	39632.29616
370	39611.73899
371	39598.67244
372	39579.34612
373	39556.83551
374	39542.67736
375	39525.8631
376	39500.3567
377	39482.26754
378	39454.83567
379	39433.30678
380	39405.51324
381	39379.5447
382	39359.5227
383	39335.01257
384	39308.41613
385	39297.39017
386	39288.54943
387	39273.94221
388	39260.37192
389	39239.9125
390	39228.58868
391	39210.74055
392	39197.50537
393	39182.48949
394	39161.93793
395	39133.72476
396	39114.12848
397	39102.73057
398	39088.81059
399	39073.82539
400	39062.46087
401	39045.52391
402	39022.11542
403	39008.30481
404	38988.25809
405	38968.03664
406	38946.85379
407	38907.95485
408	38888.34364
409	38878.45314
410	38864.79984
411	38852.80045
412	38825.03835
413	38811.20397
414	38783.71864
415	38765.77306
416	38749.89645
417	38729.33089
418	38709.09373
419	38694.9559
420	38671.155
421	38649.75437
422	38629.60419
423	38611.16873
424	38596.72239
425	38569.72902
426	38551.44703
427	38523.15692
428	38509.42491
429	38491.64242
430	38479.59299
431	38464.18553
432	38446.65072
433	38434.09019
434	38415.48478
