iter	Passed	Remaining
0	152	151922
1	156	77852
2	159	53107
3	163	40786
4	168	33474
5	172	28550
6	177	25128
7	181	22506
8	185	20475
9	190	18829
10	194	17468
11	198	16351
12	203	15486
13	208	14680
14	212	13955
15	216	13328
16	221	12814
17	226	12336
18	229	11851
19	233	11439
20	236	11035
21	239	10668
22	243	10333
23	246	10026
24	250	9780
25	255	9559
26	258	9319
27	262	9099
28	266	8921
29	270	8754
30	274	8589
31	278	8412
32	282	8285
33	286	8134
34	290	7998
35	293	7864
36	298	7761
37	301	7644
38	305	7526
39	308	7412
40	313	7323
41	316	7225
42	320	7131
43	323	7032
44	327	6939
45	332	6895
46	336	6817
47	339	6739
48	343	6665
49	347	6603
50	351	6538
51	354	6469
52	358	6408
53	363	6360
54	367	6307
55	370	6253
56	374	6199
57	379	6159
58	382	6104
59	386	6051
60	390	6005
61	394	5969
62	398	5923
63	401	5876
64	405	5832
65	409	5799
66	413	5755
67	417	5717
68	420	5676
69	425	5646
70	429	5615
71	432	5577
72	436	5544
73	441	5526
74	445	5494
75	449	5461
76	453	5430
77	457	5411
78	461	5383
79	466	5363
80	470	5339
81	475	5317
82	479	5295
83	483	5273
84	488	5253
85	493	5240
86	497	5222
87	502	5204
88	507	5195
89	513	5188
90	517	5171
91	523	5168
92	527	5148
93	532	5133
94	537	5118
95	542	5104
96	546	5091
97	553	5091
98	557	5077
99	562	5062
100	566	5046
101	572	5041
102	577	5032
103	582	5017
104	587	5011
105	592	4997
106	597	4985
107	602	4977
108	606	4961
109	611	4944
110	616	4935
111	621	4927
112	625	4913
113	630	4902
114	635	4889
115	639	4871
116	642	4850
117	646	4835
118	651	4822
119	655	4807
120	659	4791
121	663	4771
122	667	4757
123	671	4744
124	675	4731
125	679	4715
126	684	4702
127	688	4687
128	691	4671
129	695	4656
130	699	4643
131	704	4629
132	707	4612
133	711	4598
134	715	4586
135	720	4579
136	724	4566
137	729	4555
138	733	4540
139	736	4524
140	740	4509
141	744	4499
142	748	4485
143	752	4471
144	755	4456
145	759	4442
146	763	4432
147	767	4417
148	771	4404
149	774	4390
150	779	4380
151	784	4373
152	787	4361
153	791	4350
154	796	4341
155	800	4329
156	804	4317
157	807	4305
158	812	4294
159	815	4282
160	819	4270
